pkt_number,pkt_day,fsk_0,fsk_1,fsk_2,oqpsk_0,oqpsk_1,oqpsk_2,ofdm_0,ofdm_1,ofdm_2
28,2020-11-24 11:30:15-03:00,0,0,0,0,0,0,1,1,1
29,2020-11-24 11:31:14-03:00,0,0,0,0,0,0,1,1,1
30,2020-11-24 11:32:13-03:00,0,0,0,0,0,0,1,1,1
31,2020-11-24 11:33:13-03:00,0,0,0,0,0,0,1,1,1
32,2020-11-24 11:34:12-03:00,0,0,0,0,0,0,1,1,1
33,2020-11-24 11:35:11-03:00,0,0,0,0,0,0,1,1,1
34,2020-11-24 11:36:10-03:00,0,0,0,0,0,0,1,1,1
35,2020-11-24 11:37:10-03:00,0,0,0,0,0,0,1,1,1
37,2020-11-24 11:39:08-03:00,0,0,0,0,0,0,1,1,0
38,2020-11-24 11:40:08-03:00,0,0,0,0,0,0,0,1,0
55,2020-11-24 11:56:56-03:00,0,0,0,0,0,0,0,0,1
68,2020-11-24 12:09:46-03:00,0,0,0,0,0,0,1,1,1
69,2020-11-24 12:10:45-03:00,0,0,0,1,0,0,1,1,1
71,2020-11-24 12:12:44-03:00,0,0,0,0,0,0,0,0,1
73,2020-11-24 12:14:42-03:00,0,0,0,0,1,0,0,0,1
78,2020-11-24 12:19:39-03:00,0,0,0,0,0,0,0,0,1
79,2020-11-24 12:20:38-03:00,0,0,0,0,0,0,1,1,1
80,2020-11-24 12:21:37-03:00,0,0,0,0,0,0,1,0,1
81,2020-11-24 12:22:36-03:00,0,0,0,0,0,0,1,0,1
82,2020-11-24 12:23:35-03:00,0,0,0,0,0,0,1,1,0
83,2020-11-24 12:24:35-03:00,0,0,0,0,0,0,0,0,1
84,2020-11-24 12:25:34-03:00,0,0,0,0,0,0,1,1,1
88,2020-11-24 12:29:31-03:00,0,0,0,0,0,0,1,1,1
89,2020-11-24 12:30:31-03:00,0,0,0,0,0,0,0,1,1
90,2020-11-24 12:31:29-03:00,0,0,0,0,0,0,1,1,1
91,2020-11-24 12:32:29-03:00,0,0,0,0,0,0,1,1,1
92,2020-11-24 12:33:28-03:00,0,0,0,0,0,0,1,1,0
95,2020-11-24 12:36:26-03:00,0,0,0,0,0,0,1,1,1
96,2020-11-24 12:37:25-03:00,0,0,0,0,0,0,1,0,1
97,2020-11-24 12:38:25-03:00,0,0,0,0,0,0,0,1,1
98,2020-11-24 12:39:24-03:00,0,0,0,0,0,0,1,0,1
99,2020-11-24 12:40:23-03:00,0,0,0,0,0,0,1,0,1
100,2020-11-24 12:41:22-03:00,0,0,0,0,0,0,1,1,1
102,2020-11-24 12:43:21-03:00,0,0,0,0,0,0,1,1,0
107,2020-11-24 12:48:17-03:00,0,0,0,0,0,0,1,1,0
108,2020-11-24 12:49:17-03:00,0,0,0,0,0,0,0,0,1
109,2020-11-24 12:50:16-03:00,0,0,0,0,0,0,0,1,1
113,2020-11-24 12:54:13-03:00,0,0,0,0,0,0,1,1,1
118,2020-11-24 12:59:09-03:00,0,0,0,0,0,0,1,1,0
119,2020-11-24 13:00:08-03:00,0,0,0,0,0,0,1,1,1
120,2020-11-24 13:01:08-03:00,0,0,0,0,0,0,0,0,1
121,2020-11-24 13:02:07-03:00,0,0,0,0,0,0,0,1,1
122,2020-11-24 13:03:07-03:00,0,0,0,0,0,0,0,0,1
123,2020-11-24 13:04:05-03:00,0,0,0,0,0,0,1,1,1
124,2020-11-24 13:05:05-03:00,0,0,0,0,0,0,1,0,1
125,2020-11-24 13:06:04-03:00,0,0,0,0,0,0,0,0,0
127,2020-11-24 13:08:02-03:00,0,0,0,0,0,0,1,1,1
128,2020-11-24 13:09:02-03:00,0,0,0,0,0,0,1,1,1
131,2020-11-24 13:11:59-03:00,0,0,0,0,0,0,1,1,1
133,2020-11-24 13:13:58-03:00,0,0,0,0,0,0,1,1,0
134,2020-11-24 13:14:58-03:00,0,0,0,0,0,0,0,1,1
135,2020-11-24 13:15:57-03:00,0,0,0,0,0,0,0,1,1
137,2020-11-24 13:17:55-03:00,0,0,0,0,0,0,1,0,0
139,2020-11-24 13:19:54-03:00,0,0,0,0,0,0,0,0,1
140,2020-11-24 13:20:53-03:00,0,0,0,0,0,0,1,1,1
144,2020-11-24 13:24:51-03:00,0,0,0,0,0,0,0,0,1
148,2020-11-24 13:28:47-03:00,0,0,0,0,0,0,0,1,1
149,2020-11-24 13:29:47-03:00,0,0,0,0,0,0,0,1,0
152,2020-11-24 13:32:44-03:00,0,0,0,0,0,0,1,0,0
153,2020-11-24 13:33:44-03:00,0,0,0,0,0,0,0,0,1
155,2020-11-24 13:35:42-03:00,0,0,0,0,0,0,1,1,1
156,2020-11-24 13:36:41-03:00,0,0,0,0,0,0,1,0,1
158,2020-11-24 13:38:40-03:00,0,0,0,0,0,0,0,1,0
159,2020-11-24 13:39:39-03:00,0,0,0,0,0,0,1,0,0
163,2020-11-24 13:43:36-03:00,0,0,0,0,0,0,0,1,1
164,2020-11-24 13:44:35-03:00,0,0,0,0,0,0,1,1,1
165,2020-11-24 13:45:35-03:00,0,0,0,0,0,0,0,0,1
167,2020-11-24 13:47:34-03:00,0,0,0,0,0,0,0,0,1
170,2020-11-24 13:50:31-03:00,0,0,0,0,0,0,0,1,1
171,2020-11-24 13:51:30-03:00,0,0,0,0,0,0,1,1,1
172,2020-11-24 13:52:30-03:00,0,0,0,0,0,0,0,1,1
173,2020-11-24 13:53:29-03:00,0,0,0,0,0,0,0,0,1
175,2020-11-24 13:55:27-03:00,0,0,0,0,0,0,1,1,0
176,2020-11-24 13:56:27-03:00,0,0,0,0,0,0,0,0,1
177,2020-11-24 13:57:26-03:00,0,0,0,0,0,0,0,1,1
178,2020-11-24 13:58:25-03:00,0,0,0,0,0,0,1,0,0
180,2020-11-24 14:00:24-03:00,0,0,0,0,0,0,0,0,1
182,2020-11-24 14:02:22-03:00,0,0,0,0,0,0,0,1,0
183,2020-11-24 14:03:22-03:00,0,0,0,0,0,0,0,0,1
184,2020-11-24 14:04:21-03:00,0,0,0,0,0,0,1,1,0
187,2020-11-24 14:07:18-03:00,0,0,0,0,0,0,1,1,1
188,2020-11-24 14:08:18-03:00,0,0,0,0,0,0,0,1,1
191,2020-11-24 14:11:16-03:00,0,0,0,0,0,0,0,0,1
193,2020-11-24 14:13:14-03:00,0,0,0,0,0,0,0,1,0
194,2020-11-24 14:14:14-03:00,0,0,0,0,0,0,0,1,1
195,2020-11-24 14:15:13-03:00,0,0,0,0,0,0,0,0,1
196,2020-11-24 14:16:12-03:00,0,0,0,0,0,0,0,1,0
201,2020-11-24 14:21:08-03:00,0,0,0,0,0,0,1,0,1
203,2020-11-24 14:23:07-03:00,0,0,0,0,0,0,1,0,0
206,2020-11-24 14:26:05-03:00,0,0,0,0,0,0,0,1,0
207,2020-11-24 14:27:04-03:00,0,0,0,0,0,0,1,1,0
214,2020-11-24 14:33:59-03:00,0,0,0,0,0,0,1,0,0
215,2020-11-24 14:34:58-03:00,0,0,0,0,0,0,1,1,0
217,2020-11-24 14:36:56-03:00,0,0,0,0,0,0,1,0,0
218,2020-11-24 14:37:56-03:00,0,0,0,0,0,0,1,0,0
223,2020-11-24 14:42:53-03:00,0,0,0,0,0,0,0,0,1
224,2020-11-24 14:43:51-03:00,0,0,0,0,0,0,1,0,1
226,2020-11-24 14:45:50-03:00,0,0,0,0,0,0,1,0,1
229,2020-11-24 14:48:48-03:00,0,0,0,0,0,0,0,0,1
230,2020-11-24 14:49:47-03:00,0,0,0,0,0,0,1,1,1
231,2020-11-24 14:50:46-03:00,0,0,0,0,0,0,1,0,1
234,2020-11-24 14:53:44-03:00,0,0,0,0,0,0,1,0,0
238,2020-11-24 14:57:42-03:00,0,0,0,0,0,0,0,0,1
239,2020-11-24 14:58:40-03:00,0,0,0,0,0,0,1,0,0
240,2020-11-24 14:59:40-03:00,0,0,0,0,0,0,1,1,1
241,2020-11-24 15:00:39-03:00,0,0,0,0,0,0,0,1,0
